volume,code,title,line,page,phase,status,stated_error
Vol1-Part1,D.0,Supplementary to The Lattice of Resonance (BCT Superfluid Model),567,13,,,
Vol1-Part1,D.3,The Lattice of Resonance (BCT Superfluid Model) — Draft,1216,31,,,
Vol1-Part1,D.4,The Lattice of Resonance — Draft,1524,40,,,
Vol1-Part1,E.0,The Lattice of Resonance — Draft,1701,45,,,
Vol1-Part1,E.1,The Lattice of Resonance — Draft,1909,51,,,
Vol1-Part1,E.2,The Lattice of Resonance — Draft,2188,59,,,
Vol1-Part1,E.3,The Lattice of Resonance — Draft,2494,68,,,
Vol1-Part1,F,The Lattice of Resonance — Draft,2796,76,,,
Vol1-Part1,G,The Lattice of Resonance — Draft,3170,86,,,
Vol1-Part1,H,The Lattice of Resonance — Draft,3435,94,,,
Vol1-Part1,I,The Lattice of Resonance — Draft,3690,102,,,
Vol1-Part1,J,The Lattice of Resonance — Draft,4054,112,,,
Vol1-Part1,K,The Lattice of Resonance — Draft,4305,119,,,
Vol1-Part1,L,The Lattice of Resonance — Draft,4619,128,,,
Vol1-Part1,M,The Proton-Electron Mass Ratio,4861,135,,,0.0019%
Vol1-Part1,N,BCT Topological Classification,4955,138,,,
Vol1-Part1,O,The Weak Mixing Angle from BCT Geometry,5074,142,,,1.6355%
Vol1-Part1,P,Electron Anomalous Magnetic Moment g−2 in BCT,5173,145,,,
Vol1-Part1,Q,Three Generations from BCT Mode Structure,5258,148,,,
Vol1-Part1,R,Cosmological Constant from BCT Vacuum Energy,5379,152,,,
Vol1-Part1,S,CS Level Exact Quantization,5547,157,,,
Vol1-Part1,T,Inter-generation Coupling and CKM/PMNS Texture,5694,162,,,
Vol1-Part1,U,"Neutrino Mass, PH-Breaking Scale, and the Λ Chain",5823,166,,,
Vol1-Part1,V,The α–Generation Connection,6006,171,,,
Vol1-Part1,W,BCT as the D4 Root Lattice Projection,6173,176,,,
Vol1-Part1,X,SU(3) from BCT: The 8-Gluon Sector,6403,183,,,
Vol1-Part1,Y,SU(2)ᴸ from BCT: Parity Violation and Left-Handedness,6845,195,,,
Vol1-Part1,Z,The Hierarchy Problem: PH-Breaking Mechanism,7267,207,,,
Vol1-Part2,ET,BCT W Boson Mass Analysis,4563,570,32A,,−0.27%
Vol1-Part2,EU,BCT Neutron Electric Dipole Moment,4676,573,32B,,
Vol1-Part2,EV,BCT Muon Anomalous Magnetic Moment,4782,576,32C,,+2.6%
Vol1-Part2,EW,BCT and the Axion,4878,579,32D,,
Vol1-Part2,EX,,4974,582,32,,−0.03%
Vol1-Part2,EY,BCT ρ Meson: NLO Chiral Correction,5085,585,33A,,-1.608%
Vol1-Part2,EZ,BCT sin²θ_W at NLO: Precision Electroweak,5166,588,33B,,+0.004%
Vol1-Part2,FA,BCT Proton Stability,5261,591,33C,,
Vol1-Part2,FB,BCT Atmospheric Neutrino Mass Splitting Δm²₃₂,5343,594,33D,,−10.5%
Vol1-Part2,FC,,5430,597,33,,+0.004%
Vol1-Part2,FD,BCT Atmospheric Mass Splitting Δm²₃₂: Two-Loop,5534,600,34A,,+0.491%
Vol1-Part2,FE,BCT Unified α₀-Correction Family for Mixing Angles,5611,602,34B,,
Vol1-Part2,FF,BCT ρ Meson at NNLO: UV/IR Split and a₁(1260),5715,605,34C,,+0.509%
Vol1-Part2,FG,BCT Electron Mass from First Principles,5799,608,34D,,+0.0229%
Vol1-Part2,FH,,5901,611,34,,−10.5%
Vol1-Part2,FI,BCT Koide Formula from T_d Symmetry and Charged,6008,614,35A,,+0.006158%
Vol1-Part2,FJ,BCT φ(1020) Meson and Muon g−2 Update,6156,618,35B,,-2.744%
Vol1-Part2,FK,BCT NNLO α₀² Corrections: Perturbative Stability,6239,621,35C,,
Vol1-Part2,FL,BCT Quark Mass Ratios at NLO,6311,623,35D,,
Vol1-Part2,FM,,6392,625,35,,-0.0008%
Vol1-Part2,FN,BCT Koide NLO Phase: T_d C2-Axis Derivation,6503,628,36A,,
Vol1-Part2,FO,BCT ω Meson and ρ–ω Isospin Mixing for Muon g−2,6602,631,36B,,-0.073%
Vol1-Part2,FP,BCT Gravity: Planck Scale and Newton's Constant,6670,633,36C,,
Vol1-Part2,FQ,BCT Cosmological Constant: 1-Loop Spectral Zeta,6755,636,36D,,-2.833%
Vol1-Part2,FR,,6840,639,36,,
Vol1-Part2,FS,BCT φ(1020) Meson: Color-Flavor Locking Mass,6930,642,37A,,-0.02561%
Vol1-Part2,FT,BCT Atmospheric Neutrino Mass Squared: 2-Loop RG,7001,644,37B,,0.1301%
Vol1-Part2,FU,BCT W Boson Mass with Electroweak Radiative,7060,646,37C,,+0.004%
Vol1-Part2,FV,BCT Higgs Mass: Top Yukawa Renormalization Group,7128,648,37D,,-3.917%
Vol1-Part2,FW,,7184,650,37,,-0.02561%
Vol1-Part2,FX,BCT Cabibbo Angle and V_us: Quark–Lepton Mixing,7275,653,38A,,0.00197%
Vol1-Part2,FY,BCT Lightest Neutrino Mass and Neutrino Hierarchy,7354,655,38B,,
Vol1-Part2,FZ,BCT Solution to the Strong CP Problem: θ_QCD = 0,7424,657,38C,,
Vol1-Part2,GA2,,7517,660,43,,
Vol1-Part2,GA,BCT W Boson Mass: Running α(m_W) and Precision,7625,663,38D,,-0.050%
Vol1-Part2,GB2,BCT Strange Quark Mass: m_s = Λ·(√2 − 1)·(1 + 8α₀),7685,665,44A,,+0.13234%
Vol1-Part2,GB,,7769,668,38,,0.00197%
Vol1-Part2,GC2,BCT Light Quark Masses: m_u from Colour Casimir ×,7861,671,44B,,−0.16601%
Vol1-Part2,GC,BCT V_cb and V_ub: Completing the CKM Matrix,7950,674,39A,,-0.04537%
Vol1-Part2,GD2,BCT B-Meson Spectroscopy: HQET Structure and,8015,676,44C,,
Vol1-Part2,GD,BCT Tau Lepton Anomalous Magnetic Moment a_τ,8083,678,39B,,
Vol1-Part2,GE2,BCT QCD Deconfinement Temperature: T_c = Λ/√2,8152,680,44D,,-0.00279%
Vol1-Part2,GE,BCT B Meson Mass from Heavy Quark Expansion,8230,682,39C,,-1.4921%
Vol1-Part2,GF2,,8304,684,44,,
Vol1-Part2,GF,BCT Neutron–Proton Mass Difference from Isospin,8408,687,39D,,-3.0786%
Vol1-Part2,GG2,"BCT Neutrino Sector: Weinberg Scale, Normal",8475,689,45A,,
Vol1-Part2,GG,,8568,692,39,,-1.4921%
Vol1-Part2,GH2,BCT Solar Mixing Angle: sin²θ₁₂ = (1/π)·(1 − 5α₀),8662,695,45B,,-0.15648%
Vol1-Part2,GH,BCT D Meson Mass: Charm-Confinement Quadrature,8743,697,40A,,-0.07108%
Vol1-Part2,GI2,BCT Cosmological Constant: ρ_CC^(1/4) = Λ · α₀^(π+2),8804,699,45C,,+8.925%
