GATE INT — mount ZIP-PDF text-layer coverage (text pages per doc)
doc | txt_pages
4_BCT_Appendices_Volume1_2026_compressed_Part3 | 25
AccidentallySolved_HardcoverCover | 1
AccidentallySolved_Print_Complete_1 | 79
AccidentallySolved_v4_Final | 36
BCT_AppendixJH4_YangMills_tex | 14
BCT_AppendixJX6_Leptogenesis_Phase79D | 2
BCT_AppendixKC6_Leptogenesis_Phase80D | 2
BCT_AppendixKE6_ARS_Leptogenesis_Phase81A | 2
BCT_AppendixKJ6_ARSLeptogenesis_Phase82A | 2
BCT_AppendixKN6_ARSLeptogenesis_Phase83A | 2
BCT_AppendixKX6_ARSViability_Phase85A | 2
BCT_AppendixLA6_arXivLetter_Phase85D | 2
BCT_AppendixLB6_Phase85Review | 2
BCT_Letter10 | 3
BCT_Letter11 | 2
BCT_Letter12 | 2
BCT_Letter195_UniverseAsymmetry_2_1 | 3
BCT_Letter1_PrimitiveLattice | 3
BCT_Letter2_24Cell | 3
BCT_Letter3_Octonions | 3
BCT_Letter4_Injectivity | 3
BCT_Letter5 | 3
BCT_Letter6 | 2
BCT_Letter7 | 2
BCT_Letter8 | 2
BCT_Letter9 | 2
BCT_Letters_Vol2b_5_1 | 33
BCT_Monograph_v21 | 57
BCT_OneMedium_JournalEdition_v2 | 13
BCT_PeriodicTable_Round_v12_1 | 1
BCT_Special_Issue_Geometry_of_the_Void | 14
CP_Book_Proposal_form | 4
NPBS2601701_3 | 61
TOTAL | 387
