path,ext,words,status,reason
BCT_AppL204a_BrainBessel.tex,.tex,582,SKIPPED,not yet read
BCT_AppL204b_NcollapseNeural.tex,.tex,670,SKIPPED,not yet read
BCT_AppL204c_Anaesthesia.tex,.tex,583,SKIPPED,not yet read
BCT_AppL204d_UniversalGrammar.tex,.tex,691,SKIPPED,not yet read
BCT_AppL206a_EDMScaling.tex,.tex,561,SKIPPED,not yet read
BCT_AppL206b_CanyonBessel.tex,.tex,607,SKIPPED,not yet read
BCT_AppL207a_StonehengeAcoustic.tex,.tex,645,SKIPPED,not yet read
BCT_AppL207b_PyramidAngle.tex,.tex,636,SKIPPED,not yet read
BCT_AppL209a_AquiferBessel.tex,.tex,899,SKIPPED,not yet read
BCT_CollaboratorBrief_v1.html,.html,1071,SKIPPED,not yet read
BCT_FAQ.md,.md,238,SKIPPED,not yet read
BCT_Gloaasry.md,.md,138,SKIPPED,not yet read
BCT_GoFundMe.md,.md,57,SKIPPED,not yet read
BCT_Letter204_ConsciousLattice.tex,.tex,1168,SKIPPED,not yet read
BCT_Letter205_PhilosophersVoid.tex,.tex,1029,SKIPPED,not yet read
BCT_Letter206_ElectricChisel.tex,.tex,1031,SKIPPED,not yet read
BCT_Letter207_AncientGeometers.tex,.tex,1187,SKIPPED,not yet read
BCT_Letter208_GeometryOfMarkets.tex,.tex,1062,SKIPPED,not yet read
BCT_Letter209_EyeOfTheLattice.tex,.tex,1098,SKIPPED,not yet read
BCT_Letter209_GrammarOfVacuum.tex,.tex,1366,SKIPPED,not yet read
BCT_Letter210_GeometryOfUncertainty.tex,.tex,1665,SKIPPED,not yet read
BCT_Letter252_Dreams.tex,.tex,1295,SKIPPED,not yet read
BCT_Letter253_LucidDreaming.tex,.tex,1001,SKIPPED,not yet read
BCT_Letter254_Entanglement.tex,.tex,1359,SKIPPED,not yet read
BCT_MasterIndex_live.html,.html,2392,SKIPPED,not yet read
BCT_NPB_Paper_v1.pdf,.pdf,5333,NOT-APPLICABLE,binary/config
BCT_RepoIndex.md,.md,409,SKIPPED,not yet read
BCT_SMOKE_Abstract.pdf,.pdf,3916,NOT-APPLICABLE,binary/config
BCT_SMOKE_Appendix.pdf,.pdf,5064,NOT-APPLICABLE,binary/config
BCT_SMOKE_Claims.pdf,.pdf,4039,NOT-APPLICABLE,binary/config
BCT_SMOKE_Description.pdf,.pdf,4936,NOT-APPLICABLE,binary/config
BCT_SMOKE_Letter_v1.pdf,.pdf,6476,NOT-APPLICABLE,binary/config
BCT_Volume15_Patents.tex,.tex,1502,SKIPPED,not yet read
BCT_Volume16_Philosophy.tex,.tex,1360,SKIPPED,not yet read
BCT_Volume1_Foundations.tex,.tex,1379,SKIPPED,not yet read
BCT_Volume2_Electroweak.tex,.tex,1219,SKIPPED,not yet read
BCT_Volume3_QCD.tex,.tex,1269,SKIPPED,not yet read
BCT_Volume4_QuarkMasses.tex,.tex,1292,SKIPPED,not yet read
CNAME,,1,NOT-APPLICABLE,binary/config
EPL_LICENCE.md,.md,280,SKIPPED,not yet read
LICENSE,,156,NOT-APPLICABLE,binary/config
README.md,.md,571,SKIPPED,not yet read
Sync Zenodo DOIs,,77,NOT-APPLICABLE,binary/config
ZENODO_DOIS.md,.md,22,SKIPPED,not yet read
assets/hopf_logo.png,.png,9682,NOT-APPLICABLE,binary/config
bct_banner (1).png,.png,9545,NOT-APPLICABLE,binary/config
bct_banner.png,.png,9411,NOT-APPLICABLE,binary/config
birdfeeder.html,.html,1448,SKIPPED,not yet read
download_zenodo_BCT_v6.py,.py,254,SKIPPED,not yet read
gate PSI2 prompt.md,.md,1061,SKIPPED,not yet read
generate_dois.py,.py,171,SKIPPED,not yet read
hopf_logo.png,.png,7906,NOT-APPLICABLE,binary/config
main,,11,NOT-APPLICABLE,binary/config
sync-zenodo-v2.yml,.yml,79,NOT-APPLICABLE,binary/config
sync_zenodo.py,.py,111,SKIPPED,not yet read
tex/BCT_Appendix_AF1.tex,.tex,1192,SKIPPED,not yet read
tex/BCT_Appendix_AG1_VacuumLuminescence.tex,.tex,1168,SKIPPED,not yet read
tex/BCT_Appendix_AG1_VacuumLuminescence_final.tex,.tex,666,SKIPPED,not yet read
tex/BCT_Appendix_AH1_LostArchive.tex,.tex,1388,SKIPPED,not yet read
tex/BCT_Appendix_AH1_LostArchive_final.tex,.tex,1379,SKIPPED,not yet read
tex/BCT_Appendix_AZ6.tex,.tex,2768,SKIPPED,not yet read
tex/BCT_Appendix_AZ7.tex,.tex,2774,SKIPPED,not yet read
tex/BCT_Appendix_BB2_SMScalesComplete.tex,.tex,793,SKIPPED,not yet read
tex/BCT_Appendix_FI_LeptonMasses.tex,.tex,709,SKIPPED,not yet read
tex/BCT_Appendix_JH (1).tex,.tex,2369,SKIPPED,not yet read
tex/BCT_Appendix_JH.tex,.tex,2302,SKIPPED,not yet read
tex/BCT_Appendix_JH_FINAL.tex,.tex,2369,SKIPPED,not yet read
tex/BCT_Appendix_JH_GRRRRRRRR.tex,.tex,2372,SKIPPED,not yet read
tex/BCT_Appendix_KA1.tex,.tex,494,SKIPPED,not yet read
tex/BCT_Appendix_KA2.tex,.tex,398,DONE,"read in full, all printed numbers recomputed"
tex/BCT_Appendix_KA3.tex,.tex,361,DONE,"read in full, all printed numbers recomputed"
tex/BCT_Appendix_KA4.tex,.tex,467,SKIPPED,not yet read
tex/BCT_Appendix_KB1.tex,.tex,420,DONE,"read in full, all printed numbers recomputed"
tex/BCT_Appendix_KB2.tex,.tex,481,SKIPPED,not yet read
tex/BCT_Appendix_KB3.tex,.tex,898,SKIPPED,not yet read
tex/BCT_Appendix_KC1.tex,.tex,810,SKIPPED,not yet read
tex/BCT_Appendix_KC2.tex,.tex,1030,SKIPPED,not yet read
tex/BCT_ChemistrySeries_VolK.tex,.tex,1115,SKIPPED,not yet read
tex/BCT_HIVE_Patent.tex,.tex,803,SKIPPED,not yet read
tex/BCT_Letter101_BlueBandedBees.tex,.tex,974,SKIPPED,not yet read
tex/BCT_Letter103_Cephalopod.tex,.tex,1062,SKIPPED,not yet read
tex/BCT_Letter104_ThreeBody.tex,.tex,1717,SKIPPED,not yet read
tex/BCT_Letter105_ElectricUniverse (1).tex,.tex,2861,SKIPPED,not yet read
tex/BCT_Letter105_ElectricUniverse.tex,.tex,2609,SKIPPED,not yet read
tex/BCT_Letter106_HubbleTension.tex,.tex,2101,SKIPPED,not yet read
tex/BCT_Letter106_StandingOnShoulders.tex,.tex,2700,SKIPPED,not yet read
tex/BCT_Letter108_TopologicalAge.tex,.tex,1324,SKIPPED,not yet read
