doi,mentions
10.5281/zenodo.18884976,99
10.5281/zenodo.18884415,54
10.5281/zenodo.18975018,54
10.5281/zenodo.18885133,32
10.5281/zenodo.18957202,30
10.5281/zenodo.18974754,28
10.5281/zenodo.18958207,22
10.5281/zenodo.18905765,20
10.5281/zenodo.18908349,18
10.5281/zenodo.18885628,16
10.5281/zenodo.18885472,14
10.5281/zenodo.19177236,12
10.5281/zenodo.19130061,12
10.5281/zenodo.19324051,11
10.5281/zenodo.19436951,8
10.5281/zenodo.18958769,8
10.5281/zenodo.18959548,8
10.5281/zenodo.18959915,8
10.5281/zenodo.18958425,7
10.5281/zenodo.19177501,6
10.5281/zenodo.18958946,5
10.5281/zenodo.19218330,5
10.5281/zenodo.18905870,4
10.5281/zenodo.18906049,4
10.5281/zenodo.18906377,4
10.5281/zenodo.18960318,4
10.5281/zenodo.18959221,4
10.5281/zenodo.18959749,4
10.5281/zenodo.18959397,4
10.5281/zenodo.18958635,4
10.5281/zenodo.18960121,4
10.5281/zenodo.19174645,4
10.5281/zenodo.19139402,4
10.5281/zenodo.19139680,4
10.5281/zenodo.20576441,3
10.5281/zenodo.20576653,3
10.5281/zenodo.20576768,3
10.5281/zenodo.20576866,3
10.5281/zenodo.20578267,3
10.5281/zenodo.20578409,3
10.5281/zenodo.19218245,3
10.5281/zenodo.19218415,3
10.5281/zenodo.XXXXXXX,3
10.1038/s41467-025-61945-1,2
10.5281/zenodo.20550361,2
10.5281/zenodo.20601015,2
10.5281/zenodo.20601291,2
10.5281/zenodo.20601344,2
10.5281/zenodo.20468602,2
10.5281/zenodo.18905576,2
10.5281/zenodo.18905993,2
10.5281/zenodo.18906334,2
10.5281/zenodo.19177598,2
10.5281/zenodo.19177334,2
10.5281/zenodo.19177441,2
10.5281/zenodo.18884976),2
10.1126/science.aee4245,2
10.13026/C2X676),1
10.13026/C2X676,1
10.5281/zenodo.20550361),1
10.5281/zenodo.19324051),1
10.5281/zenodo.18974754),1
10.1007/s11829-015-9407-7,1
10.1029/2025GL120928,1
10.1038/s41467-026-69070-3,1
