key,times_cited,resolved
monograph,75,N
Monograph,23,N
BCT_AppJH,11,N
PRL,11,N
planck,10,N
bct_l1,9,N
AppJ,9,N
prl,9,N
lorentz,9,N
bct_jhapp,7,N
bct_l57,6,N
eq:xSU3,6,Y
BCT_Monograph,6,N
L22,6,N
Planck2018,6,N
Penrose1967,5,N
PR1986,5,N
tab:results,5,Y
letter1,5,N
eq:xEW,5,Y
korkine,5,N
bctjh,5,N
PDG2024,5,N
eq:BC,4,Y
Hopfion1,4,N
Hopfion2,4,N
eq:CCR,4,Y
eq:electron-mass,4,Y
bct_l56,4,N
velikovsky,4,N
bct_l16,4,N
letter27,4,N
eq:hierarchy,4,Y
eq:LQCD,4,Y
CODATA2022,4,N
L32,4,N
L33,4,N
L1,4,N
L86,4,N
AD3,4,N
BCTstrongCP,4,N
l36,3,N
iso,3,N
bct_l45,3,N
thm:JP,3,Y
bct_l102,3,N
bct_l63,3,N
bct_l2,3,N
Autumn2002,3,N
Bendall2022,3,N
BCT_L102,3,N
eq:main,3,Y
appAY,3,N
BCT_L18,3,N
pdg,3,N
finestructure,3,N
generations,3,N
bd75,3,N
eq:mDM,3,Y
L30,3,N
eq:crit,3,Y
Penrose1996,3,N
part:fermions,3,Y
part:strongCP,3,Y
Chomsky1965,2,N
Hall2020,2,N
dreams,2,N
voss2009,2,N
baird2022,2,N
Mannella2006,2,N
Noji1997,2,N
Popp1992,2,N
eq:SGP,2,Y
lem:TF,2,Y
lem:hyp,2,Y
eq:Einstein_full,2,Y
eq:Cn,2,Y
thm:sf,2,Y
thm:gp,2,Y
thm:scalar,2,Y
BCT_L101,2,N
thornhill,2,N
alfven,2,N
talbott,2,N
samuel,2,N
bct_l13,2,N
arp1987,2,N
BCT_L110,2,N
BrightInsight2018,2,N
ArchGirl,2,N
Haas2017,2,N
tab:water,2,Y
Millot2019,2,N
Sheldrake2000,2,N
Sheldrake2003,2,N
letter58,2,N
eq:v,2,Y
letter18,2,N
letter127,2,N
Penrose1989,2,N
Arndt1999,2,N
thooft76,2,N
zinnjustin,2,N
eq:Se_final,2,Y
unruh81,2,N
visser98,2,N
deser70,2,N
ligo16,2,N
electron,2,N
eq:mpNLO,2,Y
tab:chain,2,Y
Durr2008,2,N
eq:mp_nlo,2,Y
tab:summary,2,Y
letter28,2,N
eq:DmNLO,2,Y
eq:dm_NLO,2,Y
eq:xdressed,2,Y
eq:Secorrected,2,Y
tHooft1976,2,N
eq:dressed,2,Y
eq:master,2,Y
Fowler2012,2,N
Bombin2006,2,N
L26,2,N
Dennis2002,2,N
Koch2007,2,N
ColemanWeinberg,2,N
L3,2,N
L37,2,N
wiki_indium,2,N
Armitage2018,2,N
Fu2007,2,N
Qi2008,2,N
L27,2,N
Starobinsky1980,2,N
eq:action,2,Y
Euclid,2,N
LiteBIRD,2,N
BCT_L45,2,N
kiely2026,2,N
zurek2003,2,N
bct65,2,N
bct66,2,N
bondi1964,2,N
crick1956,2,N
zv2026,2,N
robitaille2011,2,N
Sakharov1967,2,N
AppJH,2,N
BCT_monograph,2,N
L87,2,N
L18,2,N
L4,2,N
L19,2,N
L31,2,N
L8,2,N
part:gauge,2,Y
part:mixing,2,Y
part:neutrinos,2,Y
part:gravity,2,Y
app:parameters,2,Y
ConwaySloane,2,N
Crick1990,1,N
Meyer1899,1,N
Greenberg1963,1,N
Vasilyev1998,1,N
Cleal1995,1,N
Petrie1883,1,N
Lehner1997,1,N
WHO2023,1,N
Keller2019,1,N
Ho2003,1,N
Gaume2021,1,N
Mehra1985,1,N
Kahneman1979,1,N
Miller1956,1,N
l204,1,N
master,1,N
sleepedf,1,N
eq:pred,1,Y
epr,1,N
bell,1,N
aspect,1,N
chsh,1,N
tsirelson,1,N
eq:tsirelson,1,Y
appvol1,1,N
appvol2,1,N
bct_l62,1,N
eq:kin2,1,Y
eq:SSF,1,Y
dewitt1967,1,N
eq:hmunu,1,Y
eq:S3,1,Y
eq:RexpandH3,1,Y
jacobson1995,1,N
parentani2007,1,N
yunes2009,1,N
amendola2007,1,N
thm:main,1,Y
lem:cubic,1,Y
lem:t,1,Y
lem:U,1,Y
fisher1989,1,N
capogrosso2007,1,N
az6,1,N
bogoliubov1947,1,N
eq:alphaCn,1,Y
eq:Vn,1,Y
lem:spinor,1,Y
lem:1d,1,Y
eq:identity,1,Y
eq:unified,1,Y
eq:theta,1,Y
DeLuca2013,1,N
mathger2006,1,N
ramirez2015,1,N
kramer2007,1,N
sheldrake1981,1,N
poincare1890,1,N
sundman1912,1,N
laskar1994,1,N
gaia_dr3,1,N
arp,1,N
eq:tired,1,Y
planck2018,1,N
riess2022,1,N
labbe2023,1,N
eq:dz,1,Y
bct_l108,1,N
arp1966,1,N
bct_l26,1,N
mitochondria,1,N
nad,1,N
sinclair,1,N
spermidine,1,N
Geim2003,1,N
Stenhoff1999,1,N
BCT_GoE,1,N
Kerr2026,1,N
Hall2022,1,N
TPOD2005,1,N
Mataha2008,1,N
Richat2025,1,N
BCT_L107,1,N
Rose2010,1,N
Young2026,1,N
Dobbs2026,1,N
Marspedia,1,N
Juergens1974,1,N
Thornhill2001,1,N
Talbott2015,1,N
BCT_Letters,1,N
BCT_L116,1,N
Fama1614,1,N
Fludd1629,1,N
Maier1617,1,N
Martineau1996,1,N
Sheldrake1981,1,N
BCT_L79,1,N
appDU,1,N
letter44,1,N
letter76,1,N
appGT2,1,N
eq:classical,1,Y
eq:x_formula,1,Y
appFE,1,N
appFU,1,N
eq:v0,1,Y
appFI,1,N
tab:x,1,Y
appA,1,N
letter126,1,N
t2k2023,1,N
eq:chain,1,Y
eq:dispersion,1,Y
eq:minkowski,1,Y
BCT_L1,1,N
BCT_Registry,1,N
Wigner1960,1,N
Leibniz1714,1,N
BCT_L128,1,N
Conway1999,1,N
Tegmark2008,1,N
Wittgenstein1921,1,N
Putnam1975,1,N
Adams1979,1,N
Penrose2004,1,N
Boltzmann1877,1,N
BCT_L72,1,N
BCT_L136,1,N
BCT_L76,1,N
Belle2021,1,N
Zeh1989,1,N
Carroll2010,1,N
Penrose2010,1,N
gelfandyaglom,1,N
eq:me_generic,1,Y
tab:progression,1,Y
rs,1,N
baryons,1,N
Sridhar2026,1,N
eq:SQP_cov,1,Y
padmanabhan,1,N
eq:key_identity,1,Y
eq:SQP_Ricci,1,Y
eq:SQP_GB,1,Y
eq:SBCT_full,1,Y
gross86,1,N
metsaev87,1,N
tab:GB_compare,1,Y
wald93,1,N
cmb,1,N
eq:resumm,1,Y
strongcp,1,N
fieldequations,1,N
eq:mpBCT,1,Y
prl_letter,1,N
eq:mp_final,1,Y
eq:mKLO,1,Y
eq:mK_lo,1,Y
pdg2022,1,N
eq:FupgradE,1,Y
