group,n_variants,files,byte_identical_pairs
bct_appendix_ag1_vacuumluminescence,2,BCT_Appendix_AG1_VacuumLuminescence.tex | BCT_Appendix_AG1_VacuumLuminescence_final.tex,
bct_appendix_ah1_lostarchive,2,BCT_Appendix_AH1_LostArchive.tex | BCT_Appendix_AH1_LostArchive_final.tex,
bct_appendix_jh,4,BCT_Appendix_JH (1).tex | BCT_Appendix_JH.tex | BCT_Appendix_JH_FINAL.tex | BCT_Appendix_JH_GRRRRRRRR.tex,BCT_Appendix_JH (1).tex=BCT_Appendix_JH_FINAL.tex
bct_letter105_electricuniverse,2,BCT_Letter105_ElectricUniverse (1).tex | BCT_Letter105_ElectricUniverse.tex,
bct_letter122_polarholes,2,BCT_Letter122_PolarHoles (1).tex | BCT_Letter122_PolarHoles.tex,
bct_letter123_waterplanet,2,BCT_Letter123_WaterPlanet (1).tex | BCT_Letter123_WaterPlanet.tex,
bct_letter124_guardians,2,BCT_Letter124_Guardians (1).tex | BCT_Letter124_Guardians.tex,
bct_letter127_ewqcdscales,2,BCT_Letter127_EWQCDScales.tex | BCT_Letter127_EWQCDScales_v2.tex,
bct_letter28_protonmass,2,BCT_Letter28_ProtonMass.tex | BCT_Letter28_ProtonMass_tex.tex,
bct_letter29_nlo_kpn,2,BCT_Letter29_NLO_KPN.tex | BCT_Letter29_NLO_KPN_tex.tex,
bct_letter30_deltamn,2,BCT_Letter30_DeltamN.tex | BCT_Letter30_DeltamN_tex.tex,
bct_letter31_electronmass,2,BCT_Letter31_ElectronMass.tex | BCT_Letter31_ElectronMass_tex.tex,
bct_letter36_d4qubit,2,BCT_Letter36_D4Qubit (1).tex | BCT_Letter36_D4Qubit.tex,
bct_letter37_newtonsconstant,2,BCT_Letter37_NewtonsConstant (1).tex | BCT_Letter37_NewtonsConstant.tex,
bct_letter38_darkmatter,2,BCT_Letter38_DarkMatter (1).tex | BCT_Letter38_DarkMatter.tex,
bct_letter39_topologicalsemimetal,2,BCT_Letter39_TopologicalSemimetal (1).tex | BCT_Letter39_TopologicalSemimetal.tex,
bct_letter40_inflation,2,BCT_Letter40_Inflation (1).tex | BCT_Letter40_Inflation.tex,
bct_letter88_threedimensions,2,BCT_Letter88_ThreeDimensions (1).tex | BCT_Letter88_ThreeDimensions.tex,
